"bird","seed","preference","preference_numeric"
"Cardinal","Black Oil Sunflower","H",3
"Chickadee","Black Oil Sunflower","H",3
"Dove","Black Oil Sunflower","M",2
"Goldfinch","Black Oil Sunflower","H",3
"Grosbeak","Black Oil Sunflower","M",2
"House Finch","Black Oil Sunflower","H",3
"Jay","Black Oil Sunflower","H",3
"Junco","Black Oil Sunflower","L",1
"Nuthatch","Black Oil Sunflower","H",3
"Purple Finch","Black Oil Sunflower","H",3
"Siskin","Black Oil Sunflower","L",1
"Sparrow","Black Oil Sunflower","H",3
"Titmouse","Black Oil Sunflower","H",3
"Towhee","Black Oil Sunflower","H",3
"Woodpecker","Black Oil Sunflower","M",2
"Cardinal","Striped Sunflower","H",3
"Chickadee","Striped Sunflower","M",2
"Dove","Striped Sunflower","L",1
"Goldfinch","Striped Sunflower","M",2
"Grosbeak","Striped Sunflower","M",2
"House Finch","Striped Sunflower","M",2
"Jay","Striped Sunflower","H",3
"Junco","Striped Sunflower","L",1
"Nuthatch","Striped Sunflower","M",2
"Purple Finch","Striped Sunflower","M",2
"Siskin","Striped Sunflower","L",1
"Sparrow","Striped Sunflower","H",3
"Titmouse","Striped Sunflower","M",2
"Towhee","Striped Sunflower","H",3
"Woodpecker","Striped Sunflower","M",2
"Cardinal","Hulled Sunflower","H",3
"Chickadee","Hulled Sunflower","M",2
"Dove","Hulled Sunflower","M",2
"Goldfinch","Hulled Sunflower","H",3
"Grosbeak","Hulled Sunflower","H",3
"House Finch","Hulled Sunflower","H",3
"Jay","Hulled Sunflower","H",3
"Junco","Hulled Sunflower","L",1
"Nuthatch","Hulled Sunflower","M",2
"Purple Finch","Hulled Sunflower","H",3
"Siskin","Hulled Sunflower","H",3
"Sparrow","Hulled Sunflower","H",3
"Titmouse","Hulled Sunflower","M",2
"Towhee","Hulled Sunflower","H",3
"Woodpecker","Hulled Sunflower","H",3
"Cardinal","Millet White/Red","L",1
"Chickadee","Millet White/Red","N",0
"Dove","Millet White/Red","H",3
"Goldfinch","Millet White/Red","L",1
"Grosbeak","Millet White/Red","N",0
"House Finch","Millet White/Red","M",2
"Jay","Millet White/Red","N",0
"Junco","Millet White/Red","L",1
"Nuthatch","Millet White/Red","N",0
"Purple Finch","Millet White/Red","L",1
"Siskin","Millet White/Red","N",0
"Sparrow","Millet White/Red","H",3
"Titmouse","Millet White/Red","N",0
"Towhee","Millet White/Red","L",1
"Woodpecker","Millet White/Red","N",0
"Cardinal","Milo Seed","N",0
"Chickadee","Milo Seed","N",0
"Dove","Milo Seed","H",3
"Goldfinch","Milo Seed","N",0
"Grosbeak","Milo Seed","N",0
"House Finch","Milo Seed","N",0
"Jay","Milo Seed","L",1
"Junco","Milo Seed","N",0
"Nuthatch","Milo Seed","N",0
"Purple Finch","Milo Seed","N",0
"Siskin","Milo Seed","N",0
"Sparrow","Milo Seed","M",2
"Titmouse","Milo Seed","N",0
"Towhee","Milo Seed","N",0
"Woodpecker","Milo Seed","N",0
"Cardinal","Nyjer Seed (Thistle)","N",0
"Chickadee","Nyjer Seed (Thistle)","N",0
"Dove","Nyjer Seed (Thistle)","L",1
"Goldfinch","Nyjer Seed (Thistle)","H",3
"Grosbeak","Nyjer Seed (Thistle)","N",0
"House Finch","Nyjer Seed (Thistle)","H",3
"Jay","Nyjer Seed (Thistle)","N",0
"Junco","Nyjer Seed (Thistle)","L",1
"Nuthatch","Nyjer Seed (Thistle)","N",0
"Purple Finch","Nyjer Seed (Thistle)","H",3
"Siskin","Nyjer Seed (Thistle)","H",3
"Sparrow","Nyjer Seed (Thistle)","N",0
"Titmouse","Nyjer Seed (Thistle)","L",1
"Towhee","Nyjer Seed (Thistle)","N",0
"Woodpecker","Nyjer Seed (Thistle)","N",0
"Cardinal","Shelled Peanuts","N",0
"Chickadee","Shelled Peanuts","M",2
"Dove","Shelled Peanuts","N",0
"Goldfinch","Shelled Peanuts","N",0
"Grosbeak","Shelled Peanuts","N",0
"House Finch","Shelled Peanuts","N",0
"Jay","Shelled Peanuts","M",2
"Junco","Shelled Peanuts","N",0
"Nuthatch","Shelled Peanuts","L",1
"Purple Finch","Shelled Peanuts","N",0
"Siskin","Shelled Peanuts","N",0
"Sparrow","Shelled Peanuts","N",0
"Titmouse","Shelled Peanuts","M",2
"Towhee","Shelled Peanuts","L",1
"Woodpecker","Shelled Peanuts","L",1
"Cardinal","Safflower Seed","H",3
"Chickadee","Safflower Seed","M",2
"Dove","Safflower Seed","M",2
"Goldfinch","Safflower Seed","N",0
"Grosbeak","Safflower Seed","L",1
"House Finch","Safflower Seed","L",1
"Jay","Safflower Seed","L",1
"Junco","Safflower Seed","N",0
"Nuthatch","Safflower Seed","L",1
"Purple Finch","Safflower Seed","N",0
"Siskin","Safflower Seed","N",0
"Sparrow","Safflower Seed","L",1
"Titmouse","Safflower Seed","L",1
"Towhee","Safflower Seed","L",1
"Woodpecker","Safflower Seed","L",1
"Cardinal","Corn Products","L",1
"Chickadee","Corn Products","N",0
"Dove","Corn Products","M",2
"Goldfinch","Corn Products","N",0
"Grosbeak","Corn Products","N",0
"House Finch","Corn Products","N",0
"Jay","Corn Products","M",2
"Junco","Corn Products","H",3
"Nuthatch","Corn Products","N",0
"Purple Finch","Corn Products","N",0
"Siskin","Corn Products","L",1
"Sparrow","Corn Products","M",2
"Titmouse","Corn Products","N",0
"Towhee","Corn Products","L",1
"Woodpecker","Corn Products","L",1
