"bird","feeder_type","preferred","preference","feeder_name"
"Cardinal","A",0,1,"Hopper Feeder"
"Chickadee","A",0,1,"Hopper Feeder"
"Dove","A",0,0,"Hopper Feeder"
"Goldfinch","A",0,1,"Hopper Feeder"
"Grosbeak","A",0,1,"Hopper Feeder"
"House Finch","A",0,1,"Hopper Feeder"
"Jay","A",0,1,"Hopper Feeder"
"Junco","A",0,1,"Hopper Feeder"
"Nuthatch","A",0,1,"Hopper Feeder"
"Purple Finch","A",0,1,"Hopper Feeder"
"Siskin","A",0,0,"Hopper Feeder"
"Sparrow","A",0,1,"Hopper Feeder"
"Titmouse","A",0,1,"Hopper Feeder"
"Towhee","A",0,1,"Hopper Feeder"
"Woodpecker","A",0,1,"Hopper Feeder"
"Cardinal","B",0,1,"Tube Feeder"
"Chickadee","B",0,0,"Tube Feeder"
"Dove","B",0,0,"Tube Feeder"
"Goldfinch","B",0,0,"Tube Feeder"
"Grosbeak","B",0,0,"Tube Feeder"
"House Finch","B",0,0,"Tube Feeder"
"Jay","B",0,0,"Tube Feeder"
"Junco","B",0,0,"Tube Feeder"
"Nuthatch","B",0,1,"Tube Feeder"
"Purple Finch","B",0,0,"Tube Feeder"
"Siskin","B",0,1,"Tube Feeder"
"Sparrow","B",0,1,"Tube Feeder"
"Titmouse","B",0,1,"Tube Feeder"
"Towhee","B",0,0,"Tube Feeder"
"Woodpecker","B",0,0,"Tube Feeder"
"Cardinal","C",0,0,"Nyjer Feeder"
"Chickadee","C",0,1,"Nyjer Feeder"
"Dove","C",0,0,"Nyjer Feeder"
"Goldfinch","C",0,1,"Nyjer Feeder"
"Grosbeak","C",0,0,"Nyjer Feeder"
"House Finch","C",0,1,"Nyjer Feeder"
"Jay","C",0,0,"Nyjer Feeder"
"Junco","C",0,0,"Nyjer Feeder"
"Nuthatch","C",0,0,"Nyjer Feeder"
"Purple Finch","C",0,1,"Nyjer Feeder"
"Siskin","C",0,1,"Nyjer Feeder"
"Sparrow","C",0,0,"Nyjer Feeder"
"Titmouse","C",0,0,"Nyjer Feeder"
"Towhee","C",0,0,"Nyjer Feeder"
"Woodpecker","C",0,0,"Nyjer Feeder"
"Cardinal","D",0,1,"Platform Feeder"
"Chickadee","D",0,1,"Platform Feeder"
"Dove","D",0,1,"Platform Feeder"
"Goldfinch","D",0,0,"Platform Feeder"
"Grosbeak","D",0,1,"Platform Feeder"
"House Finch","D",0,0,"Platform Feeder"
"Jay","D",0,1,"Platform Feeder"
"Junco","D",0,1,"Platform Feeder"
"Nuthatch","D",0,0,"Platform Feeder"
"Purple Finch","D",0,0,"Platform Feeder"
"Siskin","D",0,0,"Platform Feeder"
"Sparrow","D",0,1,"Platform Feeder"
"Titmouse","D",0,1,"Platform Feeder"
"Towhee","D",0,1,"Platform Feeder"
"Woodpecker","D",0,1,"Platform Feeder"
"Cardinal","E",0,1,"Ground Feeder"
"Chickadee","E",0,0,"Ground Feeder"
"Dove","E",0,1,"Ground Feeder"
"Goldfinch","E",0,0,"Ground Feeder"
"Grosbeak","E",0,0,"Ground Feeder"
"House Finch","E",0,0,"Ground Feeder"
"Jay","E",0,1,"Ground Feeder"
"Junco","E",0,1,"Ground Feeder"
"Nuthatch","E",0,0,"Ground Feeder"
"Purple Finch","E",0,0,"Ground Feeder"
"Siskin","E",0,0,"Ground Feeder"
"Sparrow","E",0,0,"Ground Feeder"
"Titmouse","E",0,0,"Ground Feeder"
"Towhee","E",0,1,"Ground Feeder"
"Woodpecker","E",0,0,"Ground Feeder"
"Cardinal","F",0,0,"Suet Feeder"
"Chickadee","F",0,1,"Suet Feeder"
"Dove","F",0,0,"Suet Feeder"
"Goldfinch","F",0,0,"Suet Feeder"
"Grosbeak","F",0,0,"Suet Feeder"
"House Finch","F",0,0,"Suet Feeder"
"Jay","F",0,0,"Suet Feeder"
"Junco","F",0,0,"Suet Feeder"
"Nuthatch","F",0,1,"Suet Feeder"
"Purple Finch","F",0,0,"Suet Feeder"
"Siskin","F",0,0,"Suet Feeder"
"Sparrow","F",0,0,"Suet Feeder"
"Titmouse","F",0,1,"Suet Feeder"
"Towhee","F",0,0,"Suet Feeder"
"Woodpecker","F",0,1,"Suet Feeder"
